date,headline,ticker,sentiment_score
2017-06-07,<b>Huntington Ingalls Industries</b>,HII,0.8287875652313232
2017-06-23,Topic: <b>Electric Boat</b>,HII,0.8990259766578674
2020-09-26,<b>Huntington Ingalls Industries Inc</b>.,HII,0.9434120655059814
2023-01-13,<b>Huntington Ingalls Industries</b>,HII,0.8033000826835632
2023-09-20,"Agree To Buy <b>Huntington Ingalls Industries</b> At $165, Earn 2.4% Annualized Using Options",HII,0.6247583031654358
2023-09-21,<b>Huntington Ingalls Industries</b> Inc.,HII,0.8626106381416321
2023-09-27,Transcripts,HII,0.9223219156265259
2023-09-28,"JP Morgan Upgrades <b>Huntington Ingalls Industries</b> (HII),Deutsche Bank Initiates Coverage of <b>Huntington Ingalls Industries</b> (HII) with Hold Recommendation,JP Morgan Upgrades <b>Huntington Ingalls Industries</b>’ Outlook, Forecasts 24.72% Upside",HII,0.9361412127812704
2023-09-30,Latest News Mentioning <b>Huntington Ingalls Industries</b> Technical Solutions Division,HII,0.9434096217155457
2023-10-04,<b>Huntington Ingalls Industries</b> Inc (H1II34),HII,-0.49528101086616516
2023-10-05,"Investing in <b>Huntington Ingalls Industries</b> (NYSE:HII) three years ago would have delivered you a 44% gain,Investing in <b>Huntington Ingalls Industries</b> (NYSE:HII) three years ago would have delivered you a 44% gain",HII,-0.90803661942482
2023-10-09,"Shipbuilders 3D-printed a part for a nuclear submarine,<b>Huntington</b> <b>Ingalls</b>: A Great Long-Term Opportunity For The Next Recession,Unveiling <b>Huntington Ingalls Industries</b> (HII)&#39;s Value: Is It Really Priced Right? A ...,Unveiling <b>Huntington Ingalls Industries</b> (HII)&#39;s Value: Is It Really Priced Right? A ...",HII,0.8112804293632507
2023-10-10,"Israel-Hamas War: US defense stocks rocket while Israel-based stocks tank globally,General Dynamics, <b>Huntington</b> <b>Ingalls</b> sued in engineers&#39; &#39;no poach&#39; lawsuit",HII,-0.12116914987564087
2023-10-14,CNTA awards 2023 Educator Grants,HII,0.8670594692230225
2023-10-15,What you need to know about carrier strike groups as U.S. sends second amid Gaza war,HII,-0.7899485230445862
2023-10-16,"Fred <b>Huntington</b> Sr. finds niche in manufacturing reloading equipment | OUHSD Hall of Fame,Latest Virginia-class SSN commissioned by US Navy despite increasing pressure on submarine service",HII,0.8534583151340485
2023-10-17,"Weekly movers: Top three stocks on the S&amp;P 500 last week,Submarine tender returns to Guam after yearlong, $38 million overhaul in California,Senators want to see study about nuclear submarine industry now",HII,-0.33640215794245404
2023-10-18,"HII wins $244 million software integration contract,Report to Congress on the U.S. Defense Industrial Base,HII wins contract to integrate Minotaur into marine platforms",HII,0.9270376960436503
2023-10-19,"HII Partnerships Celebrate Workforce Development Milestones,HII to Provide Readiness and Training Software Development Support for the U.S. Navy,<b>Huntington</b> <b>Ingalls</b> Awarded $134 Million U.S. Navy Contract",HII,0.9333187341690063
2023-10-20,"Kiggans backs McHenry for speaker, stands against &#39;nasty campaign&#39; for Jordan,Defense contractors spent $70 million lobbying ahead of annual defense budget bill,Virginia Republicans a House divided as Jordan loses battle for speaker",HII,-0.06699706117312114
2023-10-21,The Biggest Weapons Manufacturer in America,HII,0.9028819799423218
2023-10-22,General Dynamics Electric Boat awarded contract for Virginia-class submarines,HII,0.9332107305526733
2023-10-23,"<b>Huntington Ingalls Industries</b> Inc.,General Dynamics (GD) Wins $80.1M Deal for Surface Ships,<b>Huntington Ingalls Industries</b> (NYSE: HII)",HII,0.8223714232444763
2023-10-24,"NFS in Erwin awarded $300M contract to manufacture naval nuclear reactor fuel,NNS funding helps launch ODU engineering program",HII,0.7384249269962311
2023-10-25,"Report to Congress on Columbia-class Ballistic Missile Submarine Program,HII Names Paul Tennant as Corporate Vice President of Engagement and International Government Relations,HII names new VP of engagement, intl. gov relations",HII,0.9143094817797343
2023-10-26,"USS Jack H. Lucas (DDG 125) Arrives at Homeport in San Diego,<b>Huntington Ingalls Industries Inc</b>.",HII,0.908966064453125
2023-10-29,AUKUS nuclear submarine deal triggers accusations over cost and construction,HII,-0.815131425857544
2013-03-18,<b>Florida Institute of Technology</b>,LHX,0.6123262643814087
2018-02-15,"<b>L3Harris Technologies, Inc</b>. Common Stock (<b>LHX</b>)",LHX,0.8401234149932861
2019-07-01,"<b>L3Harris Technologies, Inc. Common Stock (LHX</b>)",LHX,0.9541043043136597
2020-08-14,"<b>L3Harris Technologies, Inc</b>. (LHX)",LHX,0.7396163940429688
2021-05-20,<b>L3Harris Technologies Inc</b>.,LHX,0.9425122737884521
2022-10-28,"<b>L3Harris Technologies, Inc</b>. Q3 Earnings Summary",LHX,-0.5071218013763428
2022-12-28,Latest News Mentioning <b>L3Harris</b> <b>Technologies</b>,LHX,0.9247098565101624
2023-08-15,"<b>L3Harris Technologies, Inc</b>. (LHX)",LHX,0.9411867260932922
2023-08-30,Client Profile: <b>L3Harris Technologies</b>,LHX,0.9330690503120422
2023-09-05,<b>L3Harris Technologies Inc</b> (LHX) USD1,LHX,0.9378616809844971
2023-09-12,<b>L3Harris Technologies Inc</b>.,LHX,0.9434120655059814
2023-09-15,<b>L3Harris Technologies Inc</b>.,LHX,0.8626106381416321
2023-09-18,<b>L3Harris</b> exploring supplier partnerships for its satellite business,LHX,0.8848532438278198
2023-09-22,"With 83% ownership of the shares, <b>L3Harris Technologies, Inc</b>. (NYSE:LHX) is heavily dominated by institutional owners",LHX,0.9504490494728088
2023-09-24,<b>L3harris Technologies Inc</b> (L1HX34),LHX,-0.49528101086616516
